"names" "transcripts" "pool_ratio" "weighted_length"
"143" "YLR399C" 0.453 22.7008971178
"144" "YDR507C" 0.453 23.4928322356
"145" "YOR005C" 0.453 28.8992845349
"146" "YFR023W" 0.455 23.9886289088
"147" "YBR108W" 0.455 29.4839638158
"148" "YMR072W" 0.456 28.995157385
"149" "YAL051W" 0.456 29.6553821204
"150" "YLR180W" 0.457 25.8783783784
"151" "YIL130W" 0.458 26.3291463727
"152" "YMR081C" 0.458 32.517674784
"153" "YHR159W" 0.459 29.4
"154" "YNL117W" 0.46 29.0443425076
"155" "YDR393W" 0.461 25.0213509317
"156" "YAL019W" 0.461 27.1583044983
"157" "YJL074C" 0.462 20.9119830329
"158" "YPR007C" 0.463 23.4987972884
"159" "YHR082C" 0.463 25.1034902597
"160" "YDR011W" 0.465 25.9442724458
"161" "YKL179C" 0.466 23.6840977282
"162" "YCL054W" 0.467 23.4911734164
"163" "YNL284C-A" 0.467 24.0500568828
"164" "YDL062W" 0.467 26.1343883772
"165" "YDR355C" 0.467 28.3618012422
"166" "Q0275" 0.468 22.7778894472
"167" "YDL016C" 0.468 29.7584173483
"168" "YAL001C" 0.471 24.0107248521
"169" "YER022W" 0.471 26.0451306413
"170" "YNL285W" 0.471 26.4015946286
"171" "YIL130W-R" 0.472 26.0259344012
"172" "YGR122W" 0.473 31.0506100316
"173" "YBR131W" 0.474 27.579880437
"174" "YFR031C" 0.476 23.4958753437
"175" "YDR194C" 0.476 25.5609573672
"176" "YFR016C" 0.477 22.8491295938
"177" "YOR308C" 0.477 23.6956521739
"178" "YCR035C" 0.478 24.6588886692
"179" "YOR151C" 0.479 21.8958063121
"180" "YIR021W" 0.479 26.6077003122
"181" "YML074C" 0.48 25.132122213
"182" "YLR309C" 0.483 20.1912681913
"183" "YJL113W" 0.483 24.9573889393
"184" "YEL036C" 0.483 29.7881799163
"185" "YOR198C" 0.485 19.7422162705
"186" "YAL031C" 0.485 29.4428152493
"187" "YDL145C" 0.488 23.8957549704
"188" "YDR028C" 0.489 23.936
"189" "YAL029C" 0.489 25.3888259721
"190" "YAL064C-A" 0.49 29.165784459
"191" "YJL087C" 0.49 29.963287783
"192" "YGL086W" 0.491 22.8431372549
"193" "YLR041W" 0.491 28.1768734891
"194" "YEL061C" 0.492 23.2022029898
"195" "YGR103W" 0.492 23.9383734635
"196" "YFL030W" 0.493 31.8243626062
"197" "YIL068C" 0.494 23.8486574451
"198" "YPR149W" 0.494 26.2875978574
"199" "YPL280W" 0.494 30.4707668945
"200" "YMR014W" 0.495 23.6765436186
"201" "YKL101W" 0.496 22.9164220004
"202" "YDR340W" 0.497 24.552310965
"203" "YIL050W" 0.497 29.8461214165
"204" "YCL022C" 0.498 22.956388341
"205" "YIL079C" 0.499 25.9976152623
"206" "YLL013C" 0.499 29.7550111359
"207" "YER139C" 0.499 31.5924189136
"208" "YLR197W" 0.5 25.9454705365
"209" "YGR100W" 0.5 28.5236347939
"210" "YDL185W-R" 0.501 25.992091184
"211" "YKL031W" 0.501 30.0995679128
"212" "YLL024C" 0.502 25.1628804115
"213" "YBL053W" 0.503 25.0988977805
"214" "YOL103W" 0.503 26.509556504
"215" "YDR128W" 0.503 28.4681475272
"216" "YAL024C" 0.503 29.7185217018
"217" "YGR186W" 0.504 22.7108433735
"218" "Q0182" 0.504 23.0072801941
"219" "YGR116W" 0.504 23.8331318017
"220" "YOR378W" 0.504 28.2817741334
"221" "YKR063C" 0.505 26.6527196653
"222" "YBL063W" 0.505 26.6958385426
"223" "YGL035C" 0.505 35.8198368601
"224" "YHR154W" 0.506 23.1485895908
"225" "YLR345W" 0.506 26.9443307409
"226" "YBR113W" 0.506 30.2511300854
"227" "YGR127W" 0.507 30.6959634122
"228" "YDL074C" 0.509 25.4277929155
"229" "YGR098C" 0.509 26.5541740675
"230" "YDL040C" 0.51 28.5875706215
"231" "YBR138C" 0.511 27.4621653085
"232" "YGR130C" 0.512 23.7277029487
"233" "YBL004W" 0.512 24.3355481728
"234" "YGL203C" 0.514 24.5210414279
"235" "YOR289W" 0.515 23.4787472036
"236" "YDL070W" 0.515 23.6388840756
"237" "YKR023W" 0.515 26.9124423963
"238" "YMR049C" 0.516 22.1705275453
"239" "YBR081C" 0.516 24.4464869281
"240" "YOR239W" 0.516 25.0433905146
"241" "YJL090C" 0.516 30.4642525534
"242" "YNL213C" 0.519 31.1338986393
"243" "YOR195W" 0.52 20.2819170358
