"names" "transcripts" "pool_ratio" "weighted_length"
"1448" "YNL107W" 0.82 29.3018213356
"1449" "YBL096C" 0.82 30.8150851582
"1450" "YKL153W" 0.82 31.4109347443
"1451" "YNL214W" 0.82 31.7585348506
"1452" "YGL148W" 0.821 25.53828871
"1453" "YJR032W" 0.821 26.3313505948
"1454" "YDR266C" 0.821 26.6550665302
"1455" "YKL109W" 0.821 27.2890733057
"1456" "YLR342W-R" 0.821 27.7029618581
"1457" "YLL016W" 0.821 31.204467354
"1458" "YOR181W" 0.822 25.8187863674
"1459" "YLR033W" 0.822 27.9251377541
"1460" "YAR023C" 0.822 28.5029048116
"1461" "YHL019C" 0.822 28.7723132969
"1462" "YOL036W" 0.822 28.9426413554
"1463" "YCL018W" 0.822 29.0116601888
"1464" "YLL006W" 0.822 29.1870050105
"1465" "YHR149C" 0.822 30.8048417923
"1466" "YEL049W" 0.822 31.189516129
"1467" "YNR057C" 0.822 32.5354270394
"1468" "YNL297C" 0.823 25.3330751356
"1469" "YDL157C" 0.823 25.57178077
"1470" "YCL031C" 0.823 26.4561027837
"1471" "YLR456W" 0.823 29.1225626741
"1472" "YHR113W" 0.823 29.6166807077
"1473" "YGR121C" 0.823 31.130600572
"1474" "YJL021C" 0.824 25.4711141678
"1475" "YGL252C" 0.824 27.0053991516
"1476" "YPR065W" 0.824 27.1976924784
"1477" "YDR430C" 0.824 27.8122134605
"1478" "YGR212W" 0.824 27.9727652098
"1479" "YDR009W" 0.824 28.5520361991
"1480" "YBR203W" 0.824 29.5555138785
"1481" "YLR133W" 0.824 30.2863664661
"1482" "YLR357W" 0.825 26.2296231376
"1483" "YNL049C" 0.825 26.8559473999
"1484" "YOR365C" 0.825 28.0484114977
"1485" "YDL007W" 0.825 28.2224848076
"1486" "YGR093W" 0.825 28.6841012868
"1487" "YKR021W" 0.825 30.1370443628
"1488" "YDR005C" 0.825 31.9140192824
"1489" "YAR042W" 0.826 25.4963155613
"1490" "YPR191W" 0.826 26.6441303012
"1491" "YDR145W" 0.826 26.927867151
"1492" "YOL076W" 0.826 27.6523458566
"1493" "YMR115W" 0.827 26.6987724268
"1494" "YKL155C" 0.827 27.6504128982
"1495" "YHR038W" 0.827 28.1009070295
"1496" "YPL209C" 0.827 28.2067468929
"1497" "YOL117W" 0.827 30.3580433686
"1498" "YIL027C" 0.827 30.4813664596
"1499" "YJL148W" 0.828 27.2836841158
"1500" "YOR104W" 0.828 28.03185438
"1501" "YDL204W" 0.828 28.5166152792
"1502" "YMR052W" 0.828 28.8062768541
"1503" "YJR099W" 0.828 28.9668818996
"1504" "YJR056C" 0.828 32.3499255829
"1505" "YBR152W" 0.829 26.5312264861
"1506" "YLR129W" 0.829 26.7351372704
"1507" "YDR247W" 0.829 28.2709877607
"1508" "YJL105W" 0.829 29.3575834929
"1509" "YDR244W" 0.829 29.7310469314
"1510" "YLR092W" 0.829 30.2753358766
"1511" "YGL137W" 0.829 30.7740066225
"1512" "YGL144C" 0.829 30.9938757655
"1513" "YOL149W" 0.829 32.2091974752
"1514" "YBR154C" 0.83 28.8067420034
"1515" "YLR093C" 0.83 29.0649920255
"1516" "YBR277C" 0.83 29.1755800559
"1517" "YBR162W-A" 0.83 29.8657187994
"1518" "YLR279W" 0.83 30.5905349794
"1519" "YGL262W" 0.83 31.0482810445
"1520" "YPL118W" 0.831 25.5803119303
"1521" "YFL016C" 0.831 26.143685567
"1522" "YPL249C" 0.831 27.0549367567
"1523" "YPL171C" 0.831 27.2073196091
"1524" "YBR273C" 0.831 27.8661327231
"1525" "YJR045C" 0.831 28.9467969598
"1526" "YFR004W" 0.831 29.9024670109
"1527" "YDR148C" 0.831 30.2411642412
"1528" "YIL038C" 0.832 24.3592271293
"1529" "YNR016C" 0.832 27.9787443417
"1530" "YNL195C" 0.832 27.9937426672
"1531" "YDR437W" 0.832 29.1622751227
"1532" "YGR141W" 0.832 29.7056545314
"1533" "YGL184C" 0.832 29.9276879163
"1534" "YBR274W" 0.832 30.8290463
"1535" "YIL115C" 0.833 25.3168155971
"1536" "YKL182W" 0.833 27.7640247554
"1537" "YNL325C" 0.833 28.1025641026
"1538" "YJL005W" 0.833 28.3979152504
"1539" "YMR254C" 0.833 29.7489226157
"1540" "YKL055C" 0.833 36.4741035857
"1541" "YOL155C" 0.834 25.8054112166
"1542" "YEL069C" 0.834 28.4901741492
"1543" "YER028C" 0.834 29.7230154198
"1544" "YOR343C" 0.834 29.766536965
"1545" "YDR259C" 0.834 30.4708431836
"1546" "YMR257C" 0.834 31.4097914778
"1547" "YFL037W" 0.835 28.0711998493
"1548" "YOR374W" 0.835 28.5256701499
"1549" "YJL130C" 0.835 29.2278753135
"1550" "YOL091W" 0.836 23.8024493074
"1551" "YDR185C" 0.836 25.6309650053
"1552" "YFR015C" 0.836 26.5275395464
"1553" "YBL078C" 0.836 26.8852459016
"1554" "YJR060W" 0.836 27.7524143986
"1555" "YEL037C" 0.836 27.7978765238
"1556" "YER064C" 0.836 28.3801726046
"1557" "YPR151C" 0.836 29.0059673367
"1558" "YDR157W" 0.836 29.6587831739
"1559" "YPL026C" 0.836 30.0938967136
"1560" "YNL093W" 0.836 30.1296896711
"1561" "YDR315C" 0.836 30.1640609921
"1562" "YEL053C" 0.836 30.2079510703
"1563" "YDR212W" 0.836 30.3513361988
"1564" "YLL064C" 0.837 26.3952790558
"1565" "YBR247C" 0.837 28.0107816712
"1566" "YLR159W" 0.837 28.4645669291
"1567" "YOR310C" 0.838 27.6580921758
"1568" "YHR045W" 0.838 27.9630434783
"1569" "YKL049C" 0.838 28.1384373361
"1570" "YDL044C" 0.838 30.1444170483
"1571" "YER015W" 0.838 31.4674441205
"1572" "YML001W" 0.839 25.5752377401
"1573" "YPR056W" 0.839 27.2284710018
"1574" "YDR037W" 0.839 27.7451649602
"1575" "YNL014W" 0.839 29.3155080214
"1576" "YMR251W" 0.839 29.4785210515
"1577" "YPL272C" 0.839 31.145390726
"1578" "YOL124C" 0.839 32.0874524715
"1579" "YLR451W" 0.84 26.2234767374
"1580" "YGR240C" 0.84 27.1739130435
"1581" "YGR291C" 0.84 28.1134352373
"1582" "YPL237W" 0.84 28.7307611217
"1583" "YFL067W" 0.84 29.6283210854
"1584" "YIL167W" 0.84 29.710701107
"1585" "YBR161W" 0.84 30.1802337096
"1586" "YAL025C" 0.84 30.9089249863
"1587" "YDR400W" 0.84 34.1185617104
"1588" "YJR035W" 0.841 27.628974521
"1589" "YLR139C" 0.841 27.9289940828
"1590" "YJR086W" 0.841 28.6123475905
"1591" "YER150W" 0.841 32.4368709165
"1592" "YBR006W" 0.841 33.7766054211
"1593" "YKL112W" 0.842 28.7156549521
"1594" "YMR153W" 0.842 28.8982867057
"1595" "YHR100C" 0.842 29.4080779944
"1596" "YDR422C" 0.842 30.1882160393
"1597" "YDL057W" 0.842 30.3765227021
"1598" "YDR086C" 0.843 24.8174942453
"1599" "YPR042C" 0.843 26.5256588072
"1600" "YML007W" 0.843 28.0303635637
"1601" "YOR189W" 0.843 28.4252280841
"1602" "YJL094C" 0.843 29.7200653862
"1603" "YBR192W" 0.843 30.2660841938
"1604" "YCR046C" 0.843 30.5954399849
"1605" "YCR018C" 0.843 31.0128871806
"1606" "YPL265W" 0.844 26.3947051745
"1607" "YCR038C" 0.844 27.8108010149
"1608" "YOR038C" 0.844 28.2818342846
"1609" "YCR061W" 0.844 28.5026868588
"1610" "YDR343C" 0.844 29.2328398385
"1611" "YMR196W" 0.844 29.6469713861
"1612" "YFL044C" 0.844 30.3938115331
"1613" "YLR087C" 0.845 24.5948697068
"1614" "YER080W" 0.845 26.4893617021
"1615" "YMR189W" 0.845 27.5204101006
"1616" "YJL036W" 0.845 28.054884742
"1617" "YDR421W" 0.845 29.3358057991
"1618" "YPR197C" 0.845 29.494214876
"1619" "YIL110W" 0.845 29.9001956947
"1620" "YDL137W" 0.846 29.3841770765
"1621" "YDL010W" 0.846 29.4152493789
"1622" "YIL168W" 0.846 30.2614015573
"1623" "YPL267W" 0.846 31.7322995307
"1624" "YDR098C" 0.846 32.5096525097
"1625" "YOR249C" 0.847 26.7030848329
"1626" "YFR028C" 0.847 27.3902681231
"1627" "YJL110C" 0.847 27.6891462731
"1628" "YER111C" 0.847 27.7780012065
"1629" "YOR328W" 0.847 29.8034254574
"1630" "YJR138W" 0.847 30.1282051282
"1631" "YBR002C" 0.847 30.5129589633
"1632" "YLR257W" 0.848 25.8886756238
"1633" "YDR351W" 0.848 25.970464135
"1634" "YBL100C" 0.848 26.976354886
"1635" "YNL054W" 0.848 27.752436243
"1636" "YAR073W" 0.848 31.3014938886
"1637" "YJL071W" 0.848 31.8349071964
"1638" "YFR057W" 0.849 28.8428677563
"1639" "YJL083W" 0.849 29.3773800457
"1640" "YDR535C" 0.849 29.6518478843
"1641" "YHR035W" 0.849 29.67132985
"1642" "YDL064W" 0.849 30.8472249461
"1643" "YDR229W" 0.849 31.0977966757
"1644" "YMR066W" 0.85 23.6993438827
"1645" "YDR180W" 0.85 27.4008541794
"1646" "YDL103C" 0.85 31.0198899704
"1647" "YGR139W" 0.85 33.2954322682
"1648" "YMR132C" 0.851 25.6383725009
"1649" "YHL002W" 0.851 26.2616267564
"1650" "YJL050W-R" 0.851 27.2046659597
"1651" "YOL060C" 0.851 30.3235591507
"1652" "YDR289C" 0.852 26.2979465324
"1653" "YDL045C" 0.852 30.6200873362
"1654" "YDR446W" 0.852 30.7535927094
"1655" "YIR032C" 0.852 30.9348111419
"1656" "YMR036C" 0.852 31.0371274185
"1657" "YMR031W-A" 0.853 25.6352146437
"1658" "YKR104W" 0.853 27.2135253601
"1659" "YGR188C" 0.853 28.2054093567
"1660" "YGL201C" 0.853 28.5330490405
"1661" "YLL030C" 0.853 28.9772727273
"1662" "YCR008W" 0.853 29.533690837
"1663" "YAL034W-A" 0.853 29.9275112185
"1664" "YER069W" 0.853 31.0291828794
"1665" "YPL083C" 0.854 25.0388280974
"1666" "YNL228W" 0.854 27.0804597701
"1667" "YMR233W" 0.854 27.1223458038
"1668" "YPL130W" 0.854 28.3173167515
"1669" "YOR208W" 0.855 26.4507989907
"1670" "YER093C" 0.855 27.5870552612
"1671" "YEL076C" 0.855 28.8490223745
"1672" "YOR211C" 0.855 28.853596971
"1673" "YGL055W-R" 0.855 29.2485754986
"1674" "YJL063C" 0.855 29.4870716838
"1675" "YPR103W" 0.855 30.1223608445
"1676" "YKL115C" 0.855 30.2168392264
"1677" "YNR065C" 0.855 30.4268650871
"1678" "YIL139C" 0.856 26.381512605
"1679" "YGR146C" 0.856 28.5486725664
"1680" "YBR182C" 0.856 30.1945525292
"1681" "YJR066W" 0.857 27.5796556501
"1682" "YER170W" 0.857 29.437105112
"1683" "YMR142C" 0.857 29.6599470576
"1684" "YBL042C" 0.857 31.4574645538
"1685" "YKL132C" 0.857 31.4775119617
"1686" "YGL059W" 0.857 32.8672780758
"1687" "YCR088W" 0.858 27.9545044232
"1688" "YDL168W" 0.858 28.3730247051
"1689" "YGR238C" 0.859 27.0558572537
"1690" "YGR090W" 0.859 27.4041776516
"1691" "YMR109W" 0.859 28.4786973009
"1692" "YJR049C" 0.859 28.5586734694
"1693" "YLR028C" 0.859 28.6704891596
"1694" "YDR342C" 0.859 28.8814729574
"1695" "YCR068W" 0.859 29.7606701237
"1696" "YGR077C" 0.859 30.5378822806
"1697" "YOR390W" 0.859 31.5361781076
"1698" "YIL112W" 0.86 25.1381642512
"1699" "YFL007W" 0.86 29.0448658649
"1700" "YDL111C" 0.86 30.9112426036
"1701" "YKL059C" 0.86 31.9373388856
"1702" "YDR525W" 0.86 31.945115258
"1703" "YMR275C" 0.861 26.4237855946
"1704" "YPL075W" 0.861 26.6024187453
"1705" "YER088C" 0.861 28.8951456311
"1706" "YCR026C" 0.861 29.626817097
"1707" "YEL016C" 0.861 31.3901937757
"1708" "YBR098W" 0.862 25.9107378129
"1709" "YMR044W" 0.862 26.6430092264
"1710" "YOR051C" 0.862 27.6014832162
"1711" "YNL289W" 0.862 28.6265745632
"1712" "YDR412W" 0.862 29.3462171053
"1713" "YDL027C" 0.862 29.8126250682
"1714" "YPR135W" 0.863 25.9139554795
"1715" "YIL057C" 0.863 26.6818873668
"1716" "YGL232W" 0.863 26.9147005445
"1717" "YPL012W" 0.863 27.3451516446
"1718" "YKL198C" 0.863 27.9043411448
"1719" "YPL100W" 0.863 28.5268414482
"1720" "YKL072W" 0.863 28.5562857749
"1721" "YEL032W" 0.863 29.2851824274
"1722" "YGR107W" 0.863 29.5614307932
"1723" "YIL143C" 0.863 31.0533216783
"1724" "YGL018C" 0.863 31.1242356865
"1725" "YPL162C" 0.863 32.2395613665
"1726" "YNL165W" 0.863 33.6894912867
"1727" "YDL211C" 0.864 28.3827232229
"1728" "YBR072W" 0.864 28.8417746368
"1729" "YER097W" 0.865 27.3097979989
"1730" "YKL100C" 0.865 30.186271128
"1731" "YJR075W" 0.865 30.2826041449
"1732" "YNL012W" 0.865 30.8301957831
"1733" "YGR228W" 0.866 26.3350577
"1734" "YPR073C" 0.866 26.5816767502
"1735" "YOR011W" 0.866 30.2429641628
"1736" "YOR382W" 0.866 31.5054010572
"1737" "YGR031W" 0.866 32.5910338518
"1738" "YLR247C" 0.867 27.0868859115
"1739" "YGR032W" 0.867 27.7714646465
"1740" "YPR095C" 0.867 27.8405588658
"1741" "YJL102W" 0.867 28.1305793804
"1742" "YCR097W" 0.867 29.1643307638
"1743" "YDR499W" 0.867 29.2710049423
"1744" "YOR091W" 0.867 29.6394865987
"1745" "YNR038W" 0.867 30.0292275574
"1746" "YFL029C" 0.867 31.471106413
"1747" "YDR137W" 0.867 31.7178542179
"1748" "YOR075W" 0.868 26.5639810427
"1749" "YGR264C" 0.868 27.7121270825
"1750" "YBR260C" 0.868 28.4873116574
"1751" "YNL294C" 0.868 29.8861480076
"1752" "YAL009W" 0.868 32.1186921187
"1753" "YOR113W" 0.869 27.3029919933
"1754" "YCR050C" 0.869 28.41754671
"1755" "YOR018W" 0.869 29.1783092588
"1756" "YBR206W" 0.869 31.0508687461
"1757" "YLR064W" 0.87 27.6126401631
"1758" "YOR268C" 0.87 28.0640094247
"1759" "YPR201W" 0.87 29.1851516523
"1760" "YBR282W" 0.87 29.7539069517
"1761" "YBR258C" 0.87 30.6532015471
"1762" "YHR105W" 0.87 32.7269445948
"1763" "YGR109W-A" 0.871 26.5167940288
"1764" "YML030W" 0.871 28.1206866041
"1765" "YLL067C" 0.871 30.0828729282
"1766" "YLR035C" 0.871 30.4902903288
"1767" "YBL107C" 0.871 31.8097447796
"1768" "YIL055C" 0.872 27.3567467652
"1769" "YDR031W" 0.872 28.0985915493
"1770" "YOR212W" 0.872 30.7308664675
"1771" "YPL150W" 0.873 24.2410423453
"1772" "YNL338W" 0.873 27.3829068083
"1773" "YGR250C" 0.873 29.0567414705
"1774" "YOL097C" 0.873 29.1413589688
"1775" "YOR265W" 0.873 29.3041130037
"1776" "YDL190C" 0.873 29.862695395
"1777" "YNL218W" 0.873 30.482645307
"1778" "YDL167C" 0.873 30.849598163
"1779" "YFL063W" 0.874 29.4729755722
"1780" "YNL123W" 0.874 29.6468901237
"1781" "YER050C" 0.874 29.8349664776
"1782" "YAL033W" 0.874 29.973281083
"1783" "YGR014W" 0.875 22.5015852885
"1784" "YNL116W" 0.875 27.3488562092
"1785" "YDL126C" 0.875 28.0901015228
"1786" "YNL016W" 0.875 28.1897468624
"1787" "YBL074C" 0.875 29.9499374218
"1788" "YLL042C" 0.875 29.9593815514
"1789" "YJL034W" 0.875 30.0725088046
"1790" "YGL072C" 0.875 30.2525976353
"1791" "YNL315C" 0.875 32.0288795467
"1792" "YDL156W" 0.876 27.8380518709
"1793" "YLR450W" 0.876 29.2560671354
"1794" "YPR140W" 0.876 30.577993179
"1795" "YKR081C" 0.876 31.9100056958
"1796" "YGL191W" 0.877 27.4387485865
"1797" "YNR035C" 0.877 28.2012629864
"1798" "YGL126W" 0.877 28.3266244968
"1799" "YCR039C" 0.877 28.681640625
"1800" "YDR095C" 0.877 29.5393221454
"1801" "YKL174C" 0.877 30.1766127533
"1802" "YDR239C" 0.878 25.4263565891
"1803" "YML069W" 0.878 29.1563698338
"1804" "YKL118W" 0.878 30.3776460627
"1805" "YBR212W" 0.878 30.4670827461
"1806" "YKR102W" 0.878 30.7205806117
"1807" "YER174C" 0.878 30.7394701734
"1808" "YOL162W" 0.878 31.6942592991
"1809" "YMR005W" 0.879 21.4940421632
"1810" "YPR189W" 0.879 29.0611976311
"1811" "YLR421C" 0.879 29.2554479419
"1812" "YEL023C" 0.879 30.3414053196
"1813" "YOR257W" 0.879 30.7058343533
"1814" "YMR016C" 0.88 26.6481563749
"1815" "YGL120C" 0.88 27.3665480427
"1816" "YLR326W" 0.88 28.0780263913
"1817" "YGL206C" 0.88 28.6363636364
"1818" "YKR082W" 0.88 29.2393509128
"1819" "YBL043W" 0.88 30.7552581262
"1820" "YER179W" 0.88 31.2125272149
"1821" "YKR083C" 0.88 31.6288099398
"1822" "YPL090C" 0.881 28.591754834
"1823" "YBR057C" 0.881 29.4351145038
"1824" "YMR268C" 0.881 30.2034883721
"1825" "YDR383C" 0.881 30.5959634425
"1826" "YMR317W" 0.881 30.8451327434
"1827" "YML073C" 0.881 31.0048971596
"1828" "YDR217C" 0.882 25.2840451249
"1829" "YLL050C" 0.882 26.799844085
"1830" "YKL114C" 0.882 27.4322732627
"1831" "YOR017W" 0.882 29.4001594261
"1832" "YPL063W" 0.883 24.0278249067
"1833" "YNL277W" 0.883 25.9188955997
"1834" "YOR271C" 0.883 27.7839268527
"1835" "YIR014W" 0.883 27.828716348
"1836" "YHR088W" 0.883 27.9827089337
"1837" "YLL003W" 0.883 28.3133561644
"1838" "YFR031C-A" 0.883 28.6194759484
"1839" "YDR190C" 0.883 28.8273680047
"1840" "YDR242W" 0.883 29.6088548602
"1841" "YPL194W" 0.883 29.6770418909
"1842" "YDL229W" 0.883 29.6820043363
"1843" "YDL154W" 0.883 29.9452654625
"1844" "YMR277W" 0.884 26.7633559758
"1845" "YNL187W" 0.884 28.0748556639
"1846" "YMR019W" 0.884 28.2107552392
"1847" "YFL068W" 0.884 28.2270333528
"1848" "YBR038W" 0.884 30.2479851209
"1849" "YLL012W" 0.884 30.7392494766
"1850" "YMR300C" 0.884 30.7602075344
"1851" "YAR018C" 0.884 31.5179508713
"1852" "YLR049C" 0.885 28.3040812011
"1853" "YPL021W" 0.885 28.8112635894
"1854" "YFR024C-A" 0.885 29.7046915932
"1855" "YLR047C" 0.885 30.5409186291
"1856" "YNL126W" 0.885 31.8486486486
"1857" "YOR163W" 0.885 32.1168687982
"1858" "YGR215W" 0.886 27.0376008525
"1859" "YBR276C" 0.886 27.4711981567
"1860" "YDL127W" 0.886 27.8216318786
"1861" "YOL068C" 0.886 28.4806574464
"1862" "YER132C" 0.886 29.102244389
"1863" "YKR003W" 0.886 29.2059095106
"1864" "YOR047C" 0.887 28.5271158587
"1865" "YHR024C" 0.887 28.6265502986
"1866" "YGL157W" 0.887 28.8487532044
"1867" "YER185W" 0.887 29.169264625
"1868" "YBR190W" 0.887 29.2361975924
"1869" "YER018C" 0.887 29.3939393939
"1870" "YLR010C" 0.887 30.2419659735
"1871" "YOL098C" 0.887 31.2258643916
"1872" "YOR203W" 0.887 31.289119171
"1873" "YKL051W" 0.887 31.7690471022
"1874" "YKL173W" 0.888 27.3754990544
"1875" "YOL144W" 0.888 27.8298779306
"1876" "YOL105C" 0.888 28.3255719781
"1877" "YCL073C" 0.888 28.8913392141
"1878" "YGL192W" 0.888 29.1077235772
"1879" "YIL018W" 0.888 29.3015157722
"1880" "YOL153C" 0.888 30.0476826245
"1881" "YJL101C" 0.888 30.7819860562
"1882" "YBR295W" 0.888 32.4781225139
"1883" "YFL039C" 0.889 27.2876057374
"1884" "YJR061W" 0.889 28.0902842281
"1885" "YJL157C" 0.889 28.9573157783
"1886" "YBR088C" 0.889 29.1716341213
"1887" "YHR157W" 0.889 29.4393323347
"1888" "YKL014C" 0.89 28.4512171746
"1889" "YER154W" 0.89 28.7898205785
"1890" "YAL068C" 0.89 29.3250883392
"1891" "YKL220C" 0.89 31.5482320632
"1892" "YMR263W" 0.891 28.3464257659
"1893" "YPL124W" 0.891 28.8833746898
"1894" "YMR160W" 0.891 29.0577128607
"1895" "YJL208C" 0.891 29.2368753383
"1896" "YOR085W" 0.891 30.28
"1897" "YLL001W" 0.891 30.2827918171
"1898" "YBL088C" 0.891 30.8804370666
"1899" "YOR247W" 0.891 31.1716937355
"1900" "YCR107W" 0.892 29.0692597738
"1901" "YMR117C" 0.892 29.3818782098
"1902" "YGR105W" 0.892 29.5523174157
"1903" "YCR027C" 0.892 31.5751840168
"1904" "YMR099C" 0.893 26.5409866817
"1905" "YDR256C" 0.893 28.5923875433
"1906" "YDR360W" 0.893 29.6317234696
"1907" "YBL075C" 0.893 30.4294478528
"1908" "YNL199C" 0.893 30.8400646204
"1909" "YBR286W-R" 0.894 28.3952874264
"1910" "YPL086C" 0.894 29.5272795217
"1911" "YAR014C" 0.895 28.4515449438
"1912" "YCR024C" 0.895 30.6212059895
"1913" "YBR193C" 0.895 30.7258207631
"1914" "YMR183C" 0.896 26.2771423836
"1915" "YMR153C-A" 0.896 29.3925619835
"1916" "YGL049C" 0.896 30.1069622715
"1917" "YCR076C" 0.896 30.9466582332
"1918" "YNL191W" 0.896 31.9557577011
"1919" "YDL038C" 0.896 32.4049372885
"1920" "YBR047W" 0.897 29.2270109928
"1921" "YLR259C" 0.897 29.6985521006
"1922" "YOL038W" 0.897 30.6424474187
"1923" "YGR029W" 0.897 30.9846566364
"1924" "YDR362C" 0.897 31.3605671843
"1925" "YER165W" 0.898 27.8331881533
"1926" "YDR124W" 0.898 29.6519285042
"1927" "YAL055W" 0.898 30.1229914699
"1928" "YBL072C" 0.898 31.8474287107
"1929" "YGR185C" 0.899 27.2188286022
"1930" "YER114C" 0.899 28.3569350145
"1931" "YFL010C" 0.899 28.4049726085
"1932" "YBR181C" 0.899 29.1521197007
"1933" "YKR026C" 0.899 32.278974359
"1934" "YPL193W" 0.9 26.8709614255
"1935" "YGL062W" 0.9 28.4802235598
"1936" "YER146W" 0.9 28.8578134168
"1937" "YJR148W" 0.9 28.9930044183
"1938" "YJR067C" 0.9 29.1033695031
"1939" "YBL026W" 0.9 31.8450184502
"1940" "YHR168W" 0.9 32.3043641836
"1941" "YIR042C" 0.9 32.9205234599
"1942" "YDR411C" 0.9 33.0334987593
"1943" "YCR095C" 0.901 27.134333447
"1944" "YBR226C" 0.901 29.4676201828
"1945" "YLR341W" 0.901 30.1054670684
"1946" "YML086C" 0.901 30.3780195464
"1947" "YLR122C" 0.901 31.7186981069
"1948" "YPL030W" 0.901 32.2960788425
"1949" "YMR124W" 0.902 25.4821641918
"1950" "YDR117C" 0.902 28.1096173733
"1951" "YBL017C" 0.902 29.4459156651
"1952" "YPR035W-R" 0.902 29.8564891847
"1953" "YBR069C" 0.902 30.2007952286
"1954" "YBR200W" 0.902 30.256107171
"1955" "YCL076W" 0.902 30.281308606
"1956" "YLL063C" 0.902 30.8298999411
"1957" "YLR044C" 0.903 27.2336668629
"1958" "YLR217W" 0.903 28.0897034719
"1959" "YPL126W" 0.903 30.2777777778
"1960" "YJR104C" 0.903 31.08334999
"1961" "YGR246C" 0.904 25.7287853577
"1962" "YOR355W" 0.904 25.8945191313
"1963" "YPR158W" 0.904 28.1058608801
"1964" "YLR304C" 0.904 30.393629124
"1965" "YBR078W" 0.904 30.8064516129
"1966" "YMR252C" 0.904 32.6621621622
"1967" "YDR103W" 0.905 28.1007596961
"1968" "YIL045W" 0.905 28.3310399056
"1969" "YOR133W" 0.905 29.2194651891
"1970" "YJR109C" 0.905 29.2542166226
"1971" "YBR120C" 0.905 29.7205132712
"1972" "YBR075W" 0.905 30.3
"1973" "YKR072C" 0.906 28.4944380514
"1974" "YER177W" 0.906 28.9543388021
"1975" "YHR137W" 0.906 29.302278275
"1976" "YIL096C" 0.906 29.7725795971
"1977" "YDR151C" 0.906 29.9609520268
"1978" "YER109C" 0.906 30.7266691258
"1979" "YKL145W" 0.906 33.6190853296
"1980" "YHL036W" 0.907 25.9295659296
"1981" "YOL114C" 0.907 26.9172779136
"1982" "YNL161W" 0.907 28.5402968251
"1983" "YGL063W" 0.907 29.6026758565
"1984" "YOL011W" 0.907 30.3754399687
"1985" "YCR104W" 0.908 27.1835316134
"1986" "YLR432W" 0.908 28.6326963907
"1987" "YER142C" 0.908 30.2327497425
"1988" "YBL062W" 0.908 30.5895606459
"1989" "YMR181C" 0.908 31.5688566752
"1990" "YER060W" 0.908 32.0576786978
"1991" "YDR353W" 0.908 32.4951140065
"1992" "YNL236W" 0.909 28.1475476287
"1993" "YKR004C" 0.909 28.8418290855
"1994" "YAL017W" 0.909 29.2139384117
"1995" "YGR258C" 0.909 29.2193382207
"1996" "YMR168C" 0.909 31.4545454545
"1997" "YHR094C" 0.91 26.8538932633
"1998" "YOR089C" 0.91 27.1289025091
"1999" "YBR204C" 0.91 28.265697557
"2000" "YML015C" 0.91 29.1419624217
"2001" "YBR084W" 0.91 29.7194827964
"2002" "YNL001W" 0.911 26.5517241379
"2003" "YPL191C" 0.911 27.1829011913
"2004" "YBR169C" 0.911 27.4029503106
"2005" "YDR252W" 0.911 29.2136585366
"2006" "YML070W" 0.911 29.4549058474
"2007" "YNL279W" 0.911 30.2984472676
"2008" "YCR041W" 0.911 31.8270571827
"2009" "YMR245W" 0.912 25.4813156535
"2010" "YER002W" 0.912 27.5978037062
"2011" "YDL077C" 0.912 28.6404145078
"2012" "YOR291W" 0.912 29.140625
"2013" "YOL055C" 0.912 29.2529965753
"2014" "YDR109C" 0.912 29.6398998652
"2015" "YML017W" 0.912 29.9525248166
"2016" "YFR037C" 0.912 30.3753407423
"2017" "YJL100W" 0.912 30.913184438
"2018" "YOR138C" 0.912 32.2318101589
"2019" "YNL183C" 0.913 29.0053817022
"2020" "YHR176W" 0.913 29.060440595
"2021" "YDR522C" 0.913 29.2423306568
"2022" "YDR460W" 0.913 29.4006368234
"2023" "YGR071C" 0.913 29.9543031226
"2024" "YBL040C" 0.913 30.1148977605
"2025" "YLR373C" 0.913 31.8992915949
"2026" "YBL038W" 0.913 33.0700280112
"2027" "YMR097C" 0.913 33.7304934627
"2028" "YGR148C" 0.914 25.1853082932
"2029" "YHL008C" 0.914 25.3707647628
"2030" "YGL138C" 0.914 25.605682173
"2031" "YHR207C" 0.914 26.783428165
"2032" "YDR358W" 0.914 27.0611563348
"2033" "YLR066W" 0.914 28.6499454744
"2034" "YOR317W" 0.914 28.7004103967
"2035" "YDR136C" 0.914 31.0314717118
"2036" "YAL046C" 0.914 32.3147989735
"2037" "YBL104C" 0.915 28.0897646415
"2038" "YMR314W" 0.915 30.1840126632
"2039" "YBL025W" 0.915 31.5387413605
"2040" "YER007C-A" 0.916 27.6422001126
"2041" "YOR028C" 0.916 27.7877877878
"2042" "YDL047W" 0.916 28.0815009078
"2043" "YOR225W" 0.916 28.9936850682
"2044" "YBR094W" 0.916 29.4297082228
"2045" "YMR080C" 0.916 30.4101741522
"2046" "YBR011C" 0.916 32.4864130435
"2047" "YLL048C" 0.917 26.4632627646
"2048" "YGR282C" 0.917 28.3368542347
"2049" "YDR409W" 0.917 28.381661442
"2050" "YDR187C" 0.917 28.6004094547
"2051" "YPR119W" 0.917 28.8655372078
"2052" "YNL042W" 0.917 28.8660337553
"2053" "YDL079C" 0.917 29.1770491803
"2054" "YDR189W" 0.917 29.7933960524
"2055" "YBR027C" 0.917 29.8076423187
"2056" "YHL018W" 0.917 29.8134011874
"2057" "YGR012W" 0.917 30.6416011972
