"Transcript.ID" "Gene.name" "Poly.A..tags" "Mean.TL" "Median.TL" "X10th..ile..TL" "X25th..ile..TL" "X75th..ile..TL" "X90th..ile..TL" "mRNA.RPKM" "RPF.RPKM" "log2.TE."
"55" "YGL141W" "YGL141W" 44 23.8 22.3 5.4 12.5 31.2 42.5 25.04 16.15 -0.632700397351
"56" "YMR009W" "YMR009W" 97 35.6 31.3 12.2 21.8 51.6 59.2 53.18 69.03 0.376339707088
"57" "YOR123C" "YOR123C" 99 34.2 31.2 12.9 20.4 46.4 56.4 59.13 95.74 0.695231528955
"58" "YJL179W" "YJL179W" 0 NA NA NA NA NA NA 85.31 175.8 1.04314830185
"59" "YBR128C" "YBR128C" 15 30.6 23.3 14.5 17.7 41.2 51.5 NA NA NA
"60" "YKL183W" "YKL183W" 1 30.6 30.6 NA NA NA NA 36.93 34.53 -0.0969429283522
"61" "YDR363W" "YDR363W" 25 31.3 26.4 8.8 13.9 44.7 57.8 23.22 12.56 -0.886531507974
"62" "YFL021W" "YFL021W" 7 10.3 7.9 NA NA NA NA 26.72 20.04 -0.415037499279
"63" "YPL194W" "YPL194W" 28 32.1 32.5 12.3 18.5 42.4 48.3 19.73 8.01 -1.30051680831
"64" "YLR362W" "YLR362W" 33 32.4 31.5 14.9 20.8 48 55.2 20.58 16.68 -0.303123693449
"65" "YPL092W" "YPL092W" 199 33.9 30 9.5 17 48 66.3 58.09 32.26 -0.848543391365
"66" "YMR283C" "YMR283C" 0 NA NA NA NA NA NA 18.65 9.3 -1.00387300915
"67" "YNL166C" "YNL166C" 111 31.4 29.2 12.1 19.1 43.7 51.5 50.86 71.8 0.49745238202
"68" "YKL134C" "YKL134C" 8 21.1 9.1 NA NA NA NA 24.88 13.82 -0.848228869742
"69" "YDR090C" "YDR090C" 129 33 31 7.4 15.6 47.1 57.1 28.28 22.48 -0.331140084588
"70" "YCL017C" "YCL017C" 33 38.7 36.7 18.8 26.2 49.2 60.7 128.39 129.83 0.0160909487653
"71" "YIL108W" "YIL108W" 10 44.5 44.9 30.4 42.3 52.2 57.1 40.03 31.84 -0.330241279844
"72" "YKL052C" "YKL052C" 103 33 29.3 10.4 15.5 48.6 61.3 39.78 29.81 -0.416246900843
"73" "YBR273C" "YBR273C" 89 30.9 28.7 10.2 14.9 44.8 55 49.51 59.42 0.263228655873
"74" "YFR005C" "YFR005C" 94 27.9 24.2 6.6 13.5 43.5 52.8 41.65 22.69 -0.876259886581
"75" "YER093C-A" "YER093C-A" 71 40.7 39.7 8.8 23.9 55.3 69.7 NA NA NA
"76" "YAL026C" "YAL026C" 0 NA NA NA NA NA NA 75.19 30.95 -1.28060139196
"77" "YOL034W" "YOL034W" 0 NA NA NA NA NA NA 21.04 7.61 -1.46716634579
"78" "YJR135W-A" "YJR135W-A" 0 NA NA NA NA NA NA 123.04 204.2 0.730855457803
"79" "YFL017W-A" "YFL017W-A" 231 30.8 26.8 10 15.6 42.1 58.8 75.24 142.61 0.922503395021
"80" "YFR050C" "YFR050C" 432 22.7 18.1 6.4 9.6 33.1 45.9 212.35 299.01 0.493749625601
"81" "YBL008W" "YBL008W" 3 26.1 33.7 NA NA NA NA 27.66 13.58 -1.02631767691
"82" "YLR079W" "YLR079W" 134 27.9 18.9 6.1 9.5 42.4 59.8 84.81 81.55 -0.0565495069531
"83" "YCL043C" "YCL043C" 2601 19.8 17.6 5.6 9.9 27.1 36.6 878.05 1031.64 0.232564616684
"84" "YGR089W" "YGR089W" 86 37.5 33 11.4 22.8 50.1 63.9 35.69 14.21 -1.32861334681
"85" "YGL237C" "YGL237C" 1 7.5 7.5 NA NA NA NA 20.5 30.29 0.563217668403
"86" "YOL058W" "YOL058W" 49 25.5 22.4 8 16 34.8 45.7 26.74 38.46 0.524359297247
"87" "YIL062C" "YIL062C" 480 26.1 23.4 7.1 13.4 37.3 50.7 170.39 301.89 0.825182301
"88" "YNL295W" "YNL295W" 0 NA NA NA NA NA NA 23.14 11.37 -1.02515661022
"89" "YAR035W" "YAR035W" 0 NA NA NA NA NA NA 6.2 1.32 -2.23173028592
"90" "YPL059W" "YPL059W" 0 NA NA NA NA NA NA 166.37 246.94 0.569765238241
"91" "YAR019C" "YAR019C" 28 20.6 16 7.6 9.3 28.9 39.3 14.12 5 -1.49774008861
"92" "YDR299W" "YDR299W" 0 NA NA NA NA NA NA 56.38 75.2 0.415549183995
"93" "YOL116W" "YOL116W" 0 NA NA NA NA NA NA 31.62 21.19 -0.577453779986
"94" "YDL226C" "YDL226C" 366 26.4 23.6 8.2 14.2 36.5 48.3 172.85 224.43 0.376744933123
"95" "YBR182C" "YBR182C" 1 17.9 17.9 NA NA NA NA NA NA NA
"96" "YGL257C" "YGL257C" 0 NA NA NA NA NA NA 49.3 15.84 -1.63801531119
"97" "YDR196C" "YDR196C" 81 37.5 34.7 11.1 17.5 51 67.1 48.19 46.71 -0.0450023559398
"98" "YBR202W" "YBR202W" 102 23.5 18.3 3.6 8.1 38.9 52 60.33 46.1 -0.38810883171
"99" "YHR101C" "YHR101C" 39 35.3 33.5 17.2 21.7 47.8 63 19.98 21 0.0718327447611
"100" "YNL239W" "YNL239W" 258 23 19.9 6.2 12.1 29.3 43.4 120.45 114.9 -0.0680555955924
"101" "YDR410C" "YDR410C" 184 33.2 30.7 11.6 19.4 44 59.2 52.87 34.58 -0.612511457739
"102" "YBR280C" "YBR280C" 14 34.9 34.7 11.4 20.9 51.6 54.3 12.31 8.87 -0.472824752183
"103" "YGR020C" "YGR020C" 1 -4.4 -4.4 NA NA NA NA 370.92 432.26 0.220791279855
"104" "YNR045W" "YNR045W" 21 26.2 21.4 8.9 11.9 38.5 50.9 15.77 8 -0.979110755016
"105" "YPL143W" "YPL143W" 4430 23.6 21.2 7.3 12.5 31.9 43 3097.86 5192.39 0.745126801494
"106" "YOR093C" "YOR093C" 0 NA NA NA NA NA NA 26.55 7.77 -1.77272535728
"107" "YPL268W" "YPL268W" 29 34 33.2 9.7 17.5 50.7 57.3 21.21 5.35 -1.98713382424
"108" "YLL040C" "YLL040C" 276 28.8 27.1 8.6 16 38 51.6 84.63 38.01 -1.15479014144
"109" "YIL091C" "YIL091C" 98 23.1 18 6.8 11.1 33 46.4 57.79 48.32 -0.258199415251
"110" "YMR172W" "YMR172W" 0 NA NA NA NA NA NA 21.36 9.99 -1.0963550639
"111" "YOR322C" "YOR322C" 4 13.5 11.6 NA NA NA NA 41.33 16.13 -1.35744292522
"112" "YML092C" "YML092C" 397 27.4 24.4 8.3 14.2 38.4 50.2 197.7 282.25 0.513660709931
"113" "YPR054W" "YPR054W" 2 35 35 NA NA NA NA NA NA NA
"114" "YOR048C" "YOR048C" 168 20.2 17.1 4.6 8.5 29.7 41.2 89.58 46.74 -0.938518932073
"115" "YPL104W" "YPL104W" 0 NA NA NA NA NA NA 24.86 11.46 -1.1172192523
"116" "YLR244C" "YLR244C" 773 31.5 28.7 10.7 17.4 42.8 55.4 251.1 372.75 0.569946323899
"117" "YAL046C" "YAL046C" 0 NA NA NA NA NA NA 99.03 108.77 0.135343155398
"118" "YDR198C" "YDR198C" 13 25.5 20.4 12.6 18 39.3 40.9 19.24 11.7 -0.717600269299
"119" "YAL039C" "YAL039C" 62 32 22.2 10 15 47.1 66.7 19.82 39.06 0.9787349867
"120" "YDL200C" "YDL200C" 54 28.5 27.6 9.4 14.3 37.7 54.8 31.77 23.08 -0.461021866068
"121" "YNR018W" "YNR018W" 355 31.2 29.4 11.7 18.3 41.3 54.2 154.83 191.25 0.30477471135
"122" "YNL168C" "YNL168C" 138 26.1 23.4 7.6 12.1 37.1 48.7 89.61 92.05 0.0387579832053
"123" "YCR034W" "YCR034W" 825 29.5 27.1 11.1 17.2 39.1 51.4 217.38 210.09 -0.0492117183135
"124" "YFR047C" "YFR047C" 235 25.6 23 8.4 14.5 34.8 48.6 102.2 119.89 0.230316132601
"125" "YBR215W" "YBR215W" 0 NA NA NA NA NA NA 22.87 21.88 -0.0638436276191
"126" "YIL106W" "YIL106W" 137 34.3 31 8.9 14.9 48.8 66.8 46.4 66.01 0.508559792718
"127" "YLR403W" "YLR403W" 0 NA NA NA NA NA NA 51.25 30.82 -0.733685142765
"128" "YNL240C" "YNL240C" 106 33.5 31.3 9.5 16.8 47.3 65.8 37.88 23.21 -0.706689808124
"129" "YBR159W" "YBR159W" 333 22.4 19.2 6.8 11.5 30.1 41.6 200.44 204.39 0.0281541697196
"130" "YCL039W" "YCL039W" 0 NA NA NA NA NA NA 18.61 12.77 -0.543319530356
"131" "YOR075W" "YOR075W" 58 26.7 20.2 6.6 10.5 38.6 61.6 33.14 25.92 -0.354507884337
"132" "YDR404C" "YDR404C" 273 30.5 28.7 11 16.9 39.6 54 108.64 112.4 0.0490866508636
