"Transcript.ID" "Gene.name" "Poly.A..tags" "Mean.TL" "Median.TL" "X10th..ile..TL" "X25th..ile..TL" "X75th..ile..TL" "X90th..ile..TL" "mRNA.RPKM" "RPF.RPKM" "log2.TE."
"1" "YBR177C" "YBR177C" 432 33.3 32.4 14.8 21.8 44.3 53.1 NA NA NA
"2" "YIL140W" "YIL140W" 436 33.7 35.7 9.7 19.4 45.6 55.7 NA NA NA
"3" "YLR268W" "YLR268W" 361 32.6 30.7 14.8 21 42.1 51.9 NA NA NA
"4" "YLR357W" "YLR357W" 614 35.7 37.5 10 18.3 50.2 58.6 NA NA NA
"5" "YJL155C" "YJL155C" 126 34.1 30.2 16.4 21.5 43.7 57.6 NA NA NA
"6" "YLL062C" "YLL062C" 33 35.4 34.3 11.5 21.5 50.1 57.5 NA NA NA
"7" "YIR004W" "YIR004W" 681 33.3 30.6 12.8 19 43.9 58.1 NA NA NA
"8" "YPR023C" "YPR023C" 571 31.7 30.3 14.3 20 42.5 53.1 NA NA NA
"9" "YAL008W" "YAL008W" 419 31.8 30.3 13.8 20.1 41.5 51.9 NA NA NA
"10" "YNR028W" "YNR028W" 1 21.3 21.3 NA NA NA NA NA NA NA
"11" "YMR111C" "YMR111C" 1 54.8 54.8 NA NA NA NA NA NA NA
"12" "YBR255W" "YBR255W" 49 33.2 29.2 10.7 18.8 46.6 56 NA NA NA
"13" "YFR027W" "YFR027W" 141 30.8 27.8 12 16.3 42.7 56.4 NA NA NA
"14" "YLR042C" "YLR042C" 1 19.5 19.5 NA NA NA NA NA NA NA
"15" "YJL122W" "YJL122W" 2069 37.6 36.6 15.3 24.4 49.5 60.3 NA NA NA
"16" "YNL300W" "YNL300W" 866 33.4 33.5 13.6 21.1 44.3 52.6 NA NA NA
"17" "YAL056W" "YAL056W" 266 35.2 36.3 9.9 20.8 48.4 58.9 NA NA NA
"18" "YML006C" "YML006C" 293 36.3 35.4 11.1 19.6 51.4 61 NA NA NA
"19" "YOR011W" "YOR011W" 136 33.5 33.3 14.3 21.3 43.7 53.4 NA NA NA
"20" "YJR122W" "YJR122W" 4 22.5 21.8 NA NA NA NA NA NA NA
"21" "YLR152C" "YLR152C" 65 42.6 44.9 24 34.3 52.8 57.2 NA NA NA
"22" "YJL204C" "YJL204C" 351 36 36.5 13.3 22.3 47.1 58.3 NA NA NA
"23" "YIL034C" "YIL034C" 396 28.1 25.4 11.6 16.5 36 49.1 NA NA NA
"24" "YLR144C" "YLR144C" 182 31.7 31.4 12.8 18.9 43.1 52.6 NA NA NA
"25" "YLR392C" "YLR392C" 78 41.5 43.3 16.9 29.4 55.9 62.3 NA NA NA
"26" "YJR084W" "YJR084W" 145 36.5 34.2 14.5 26 50 56.9 NA NA NA
"27" "YBR135W" "YBR135W" 188 29.2 26.9 11.7 17.7 41.7 49.5 NA NA NA
"28" "YDR172W" "YDR172W" 2292 29.5 27 9.3 16 41 53.2 NA NA NA
"29" "YBR160W" "YBR160W" 194 31 29.9 9.6 15.4 43.8 55.7 NA NA NA
"30" "YPR081C" "YPR081C" 120 33 31 12.6 19.6 41.6 56.4 NA NA NA
"31" "YDL238C" "YDL238C" 11 34.5 35.2 15.1 25.1 47 50.5 NA NA NA
"32" "YJL082W" "YJL082W" 123 37.2 36.1 9.1 19.5 50.4 64.4 NA NA NA
"33" "YLR197W" "YLR197W" 7789 27.2 25.7 10.4 16.2 35.9 46.3 NA NA NA
"34" "YKL190W" "YKL190W" 448 33.8 30.2 15.1 21.7 42.9 56.5 NA NA NA
"35" "YLR348C" "YLR348C" 670 30 27.6 13.8 18.6 39.4 48.7 NA NA NA
"36" "YBR248C" "YBR248C" 1 2.7 2.7 NA NA NA NA NA NA NA
